EdgeIdx,NodeR,NodeL,Ridx,Lidx,Ridx_orig,Lidx_orig,B,A,K,H,CC,actSign
1,1,357,1,54,1030,1316,0.324356,0.957036,-3.83879,6.6,0.971333,1
2,1,373,1,70,1030,1341,0.278971,0.404886,-4.934719,9.9,0.843116,1
3,2,311,2,8,1034,1101,0.103449,0.942531,-3.163135,0.5,0.992576,1
4,2,369,2,66,1034,1337,0.090677,0.363987,-4.535208,0.8,0.977142,1
5,2,384,2,81,1034,1379,0.18249,0.691061,-2.948477,5.4,0.9816,1
6,3,384,3,81,1037,1379,0.210143,4.797392,-4.325151,1.8,0.843532,1
7,4,354,4,51,1039,1311,0.202339,1.099256,-2.835051,3.2,0.974317,1
8,4,375,4,72,1039,1343,0.291779,0.166753,-2.873423,2.5,0.869698,1
9,5,308,5,5,1042,1078,0.113414,0.008681,0.77584,6,1e-06,1
10,5,336,5,33,1042,1285,0.257905,0.532777,-3.125011,2.1,0.964852,1
11,5,352,5,49,1042,1309,0.312625,0.243122,-3.920599,6.3,0.76723,1
12,5,382,5,79,1042,1376,0.123828,0.467186,-3.878654,9.5,0.971829,1
13,6,314,6,11,1044,1115,0.664825,0.837653,-6.0922,0.5,0.864952,1
14,6,363,6,60,1044,1328,1.064033,0.726466,-6.550553,0.6,0.647069,1
15,7,369,7,66,1047,1337,0.198689,0.337172,-4.29276,1.5,0.978711,1
16,8,352,8,49,1058,1309,0.452674,0.441153,-4.702339,1,0.949634,1
17,9,347,9,44,1061,1300,0.07885,0.198343,-2.833875,3,0.978559,1
18,9,362,9,59,1061,1326,0.169974,0.373675,-2.863955,5.5,0.990578,1
19,10,337,10,34,1062,1286,3.370096,1.524847,-6.689791,0.4,0.210632,1
20,10,347,10,44,1062,1300,0.248118,0.253288,-3.529096,0.9,0.924579,1
21,11,347,11,44,1063,1300,0.088391,0.15599,-2.749144,2,0.944293,1
22,11,370,11,67,1063,1338,0.198451,-0.055577,-2.5,9.9,0.8172,-1
23,12,347,12,44,1064,1300,0.113205,0.341166,-2.264157,0.6,0.929342,1
24,12,357,12,54,1064,1316,0.362588,7.626663,-2.550532,1.1,0.986425,1
25,13,347,13,44,1065,1300,0.094313,0.270343,-2.405367,0.6,0.936193,1
26,13,386,13,83,1065,1391,0.329886,6.052488,-2.313971,0.8,0.937764,1
27,14,347,14,44,1066,1300,0.229953,0.26451,-3.844414,2.8,0.912633,1
28,15,309,15,6,1067,1081,6.355595,-7.777097,-2.332364,1,0.933311,-1
29,15,347,15,44,1067,1300,9.143512,6.263542,-5.471144,0.6,0.953883,1
30,16,347,16,44,1070,1300,0.233082,0.210509,-3.5,9.9,0.899512,1
31,16,364,16,61,1070,1330,0.070289,1.59052,-2.778857,6.1,0.943897,1
32,17,347,17,44,1071,1300,0.21336,0.313594,-3.665183,2.7,0.953943,1
33,18,353,18,50,1072,1310,0.178667,1.111813,-3.855184,5.3,0.972183,1
34,19,340,19,37,1073,1290,0.329626,0.903047,-2.528249,0.3,0.797912,1
35,19,347,19,44,1073,1300,0.736736,3.819055,-4.165237,0.4,0.988189,1
36,19,350,19,47,1073,1307,0.381792,2.05385,-3.21588,2.4,0.779387,1
37,19,354,19,51,1073,1311,1.000052,5.268566,-6.5,0.9,0.759408,1
38,19,360,19,57,1073,1324,0.322581,1.227877,-4.930151,9.9,0.849555,1
39,19,369,19,66,1073,1337,0.296353,0.689181,-5.585119,1.4,0.894968,1
40,19,392,19,89,1073,1416,0.396454,3.646385,-3.719241,0.3,0.970291,1
41,20,347,20,44,1075,1300,0.103572,0.2578,-2.808174,2.1,0.978274,1
42,20,356,20,53,1075,1315,0.194315,-0.324598,-1.811477,4.7,0.469326,-1
43,21,308,21,5,1082,1078,0.074743,-0.012947,-2.826134,3,0.372636,-1
44,21,315,21,12,1082,1116,0.084947,-0.031474,-2.126627,9.9,0.720258,-1
45,21,353,21,50,1082,1310,0.303512,3.322609,-3.209535,0.8,0.996797,1
46,21,357,21,54,1082,1316,0.268677,1.122646,-3.783144,3.8,0.919673,1
47,21,382,21,79,1082,1376,0.089368,0.431844,-3.896164,9.3,0.986008,1
48,22,334,22,31,1085,1282,0.22056,-0.150047,-3.104072,0.2,0.892194,-1
49,22,352,22,49,1085,1309,0.25449,0.729323,-3.034284,1.3,0.953229,1
50,23,384,23,81,1094,1379,0.228072,0.66834,-2.957847,3.9,0.980482,1
51,24,363,24,60,1105,1328,0.284727,0.152066,-3.953221,4.7,0.83582,1
52,25,363,25,60,1107,1328,0.184176,0.255896,-2.876775,5.2,0.950818,1
53,26,335,26,32,1108,1283,0.174263,-0.053036,-2.930533,9.9,0.782573,-1
54,26,338,26,35,1108,1287,0.138888,-0.03345,-12,5.7,0.411148,-1
55,26,339,26,36,1108,1289,0.087898,0.310977,-2.486133,3.8,0.996435,1
56,26,340,26,37,1108,1290,0.078754,0.097876,-2.864366,6.8,0.968184,1
57,26,341,26,38,1108,1291,0.077276,-0.007047,-7.065891,4.2,0.341217,-1
58,26,346,26,43,1108,1299,0.163972,0.305078,-4.924437,9.9,0.975646,1
59,27,373,27,70,1109,1341,0.224389,0.27525,-4.953381,7.4,0.709504,1
60,28,312,28,9,1111,1111,0.248779,0.635428,-4.841095,1.2,0.984101,1
61,28,339,28,36,1111,1289,0.092134,0.220316,-2.83629,9.9,0.980257,1
62,28,340,28,37,1111,1290,0.077536,0.069068,0.457664,7.7,0,1
63,28,341,28,38,1111,1291,0.098413,-0.028602,-2.705917,5.4,0.710187,-1
64,29,356,29,53,1112,1315,0.255187,-0.07935,-11.49895,0.1,0.435117,-1
65,29,389,29,86,1112,1411,0.140979,-0.025636,-10.297002,0.8,0.504218,-1
66,30,337,30,34,1113,1286,0.166553,0.230543,-2.760422,7.7,0.90032,1
67,31,314,31,11,1115,1115,0.033712,12.855964,-5.222902,0.4,0.984538,1
68,32,333,32,30,1116,1281,0.109557,0.351946,-2.393771,9.9,0.987566,1
69,32,337,32,34,1116,1286,0.115637,0.195454,-2.314712,9.9,0.974447,1
70,32,339,32,36,1116,1289,0.097755,0.216669,-2.842748,6,0.981551,1
71,32,340,32,37,1116,1290,0.082899,0.097916,-2.832208,5.7,0.955249,1
72,32,341,32,38,1116,1291,0.106246,-0.012592,-7.700057,9.9,0.405701,-1
73,33,338,33,35,1119,1287,0.724811,2.732461,-5.591108,0.5,0.981987,1
74,33,350,33,47,1119,1307,0.41177,2.445624,-3.621628,1.6,0.990175,1
75,33,377,33,74,1119,1346,0.345017,1.273131,-4,6.8,0.72818,1
76,34,352,34,49,1120,1309,3.689245,5.208252,-8.945057,0.3,0.942056,1
77,35,351,35,48,1125,1308,0.958576,4.119369,-2.813297,5.4,0.855155,1
78,36,352,36,49,1128,1309,0.230488,0.999236,-3.073127,0.3,0.943154,1
79,37,361,37,58,1129,1325,1.557438,3.975255,-4.918643,9.9,0.578889,1
80,38,362,38,59,1134,1326,0.275126,0.47591,-3.90126,3.4,0.901141,1
81,38,369,38,66,1134,1337,0.160454,0.920874,-2.166254,0.4,0.979009,1
82,39,362,39,59,1136,1326,0.267748,0.450873,-4.234561,1.6,0.831668,1
83,40,362,40,59,1137,1326,0.171746,0.399161,-3.96365,9.1,0.955389,1
84,40,364,40,61,1137,1330,0.148217,-0.012211,-5.440577,9.9,0.328567,-1
85,41,306,41,3,1142,1067,0.211586,0.044051,-5.73613,1.2,0.510403,1
86,41,316,41,13,1142,1117,0.182276,1.206738,-2.624048,5.6,0.895779,1
87,41,356,41,53,1142,1315,0.247749,-0.078122,-3.073308,0.7,0.727895,-1
88,41,373,41,70,1142,1341,0.196178,0.560982,-4.372219,1.6,0.937923,1
89,41,387,41,84,1142,1396,0.181035,11.406767,-4.648449,1,0.953792,1
90,42,361,42,58,1155,1325,0.202742,0.182328,-3.31077,1.5,0.959144,1
91,43,313,43,10,1158,1113,0.081374,0.966635,-2.777772,8.3,0.982182,1
92,44,340,44,37,1161,1290,0.148782,1.470953,-2.463826,1.8,0.979023,1
93,44,352,44,49,1161,1309,0.3876,0.515639,-5.255584,0.4,0.900603,1
94,45,340,45,37,1162,1290,0.138426,0.1743,-1.782708,9.3,0,1
95,46,352,46,49,1163,1309,0.41009,1.327667,-4.345988,0.6,0.971506,1
96,47,374,47,71,1164,1342,0.304539,0.100255,-2.902575,9.9,0.666519,1
97,47,388,47,85,1164,1410,0.091989,-0.030322,-2.938699,7,0.732746,-1
98,48,359,48,56,1172,1323,0.38636,-0.080699,-9.111603,0.5,0.597658,-1
99,49,324,49,21,1183,1191,2.013292,6.592568,-6.674067,0.3,0.959349,1
100,50,345,50,42,1185,1296,0.199991,0.010995,-5.490334,9.9,0.26162,1
101,51,351,51,48,1190,1308,0.321435,0.16384,-3.073421,0.9,0.669834,1
102,52,309,52,6,1193,1081,0.209097,1.923166,-2.511847,3.3,0.97661,1
103,52,340,52,37,1193,1290,0.181081,0.312938,-4.81608,7,0.980296,1
104,52,362,52,59,1193,1326,0.397874,0.774498,-4.097442,2,0.668811,1
