idx,widx,cnt,word,proxy,c13grp_manual
1,2,1,acacia,floral,4
2,4,1,acetone,chemical,2
3,5,5,acidic,acid,8
4,10,13,aldehydic,soapy,4
5,12,2,alliaceous,onion,8
6,13,1,allspice,spicy,7
7,14,1,almond,nutty,7
8,18,2,amber,resin,6
9,20,1,ambrette,musk,4
10,21,1,ammoniacal,urine,8
11,23,1,animal,animal,8
12,24,3,anise,anise,3
13,25,1,anisic,anise,3
14,26,2,apple,apple,8
15,32,4,aromatic,aromatic,4
16,39,1,bacon,meaty,8
17,41,5,balsamic,aromatic,4
18,42,5,banana,banana,4
19,46,1,barley-roasted-barley,burnt,7
20,55,1,beeswax,soapy,4
21,58,3,berry,berry,5
22,62,1,blueberry,berry,5
23,63,1,bois-de-rose,rose,4
24,70,1,bready,bakery,7
25,73,1,brown,burnt,7
26,80,3,buttery,butery,7
27,81,1,cabbage,vegetable,6
28,83,2,camphoreous,camphor,3
29,85,2,candy,honey,7
30,88,4,caramellic,caramel,7
31,89,1,caraway,caraway,3
32,91,3,carnation,clove,7
33,95,1,cashew,nutty,7
34,106,9,cheesy,cheesy,3
35,112,2,chemical,chemical,2
36,113,2,cherry,berry,5
37,116,1,chicken,fried-chicken,7
38,122,2,chocolate,chocolate,7
39,126,2,cilantro,herbal,6
40,127,3,cinnamon,cinnamon,7
41,128,1,cinnamyl,cinnamon,7
42,130,1,citronella,citrus,1
43,131,18,citrus,citrus,1
44,133,1,citrus-rind,citrus,1
45,135,1,clam,fishy,8
46,136,1,clean,light,4
47,137,1,cloth-laundered-cloth,soapy,4
48,138,5,clove,clove,7
49,139,1,clover,green,6
50,140,1,cocoa,chocolate,7
51,141,2,coconut,coconut,7
52,142,4,coffee,coffee,7
53,143,1,coffee-roasted-coffee,coffee,7
54,146,1,cooked,cooked,8
55,148,4,cooling,cool,3
56,151,1,corn,popcorn,7
57,157,1,cotton-candy,honey,7
58,158,4,coumarinic,spicy,7
59,160,6,creamy,burnt-milk,7
60,162,2,cucumber,cucumber,6
61,164,2,cumin,spicy,7
62,170,2,cyclamen,floral,4
63,172,3,dairy,buttery,7
64,182,4,earthy,earthy,6
65,185,1,eggy,eggy,8
66,189,1,estery,fruity,5
67,190,3,ethereal,fruity,5
68,192,11,fatty,fatty,7
69,196,3,fermented,fermented,8
70,200,2,fishy,fishy,8
71,202,33,floral,floral,4
72,203,1,foliage,green,6
73,206,1,fox-odor,animal,8
74,209,10,fresh,unsorted,9
75,210,1,fresh-outdoors,green,6
76,212,1,fruit-dried-fruit,raisins,5
77,216,21,fruity,fruity,5
78,218,1,fusel,fermented,8
79,221,1,gardenia,floral,4
80,224,1,gasoline-like,gasoline,2
81,237,1,grape,fruity,5
82,239,1,grapefruit,citrus,1
83,240,1,grapefruit-peel,citrus,1
84,241,1,grassy,cut-grass,6
85,244,19,green,green,6
86,250,1,ham,meaty,8
87,251,2,hawthorn,floral,4
88,252,2,hay,hay,7
89,253,1,hay-new-mown-hay,hay,7
90,254,1,hazelnut,nutty,7
91,255,1,hazelnut-roasted-hazelnut,nutty,7
92,257,2,heliotrope,floral,4
93,258,11,herbal,herbal,6
94,260,4,honey,honey,7
95,266,1,humus,earthy,6
96,267,2,hyacinth,floral,4
97,272,1,jammy,molasses,7
98,273,2,jasmin,floral,4
99,278,1,ketonic,chemical,2
100,287,1,lavender,lavender,4
101,290,2,leathery,leather,2
102,292,2,lemon,lemon,1
103,293,2,lemon-peel,lemon,1
104,296,2,licorice,anise,3
105,298,1,lilac,floral,4
106,301,1,lime,citrus,1
107,310,1,malty,malty,7
108,313,1,maple,maple-syrup,7
109,318,1,marzipan,honey,7
110,320,2,meaty,meaty,8
111,321,1,meaty-roasted-meaty,meaty,8
112,322,4,medicinal,medicinal,2
113,324,1,melon-rind,melon,5
114,326,5,mentholic,minty,3
115,329,3,mimosa,fragrant,4
116,330,15,minty,minty,3
117,334,2,muguet,floral,4
118,335,1,mushroom,mushroom,6
119,336,7,musk,musk,4
120,337,1,mustard,spicy,7
121,338,3,musty,musty,6
122,340,1,myrrh,resin,6
123,344,1,natural,unsorted,9
124,347,1,nut-skin,nutty,7
125,348,1,nutmeg,spicy,7
126,349,2,nutty,nutty,7
127,351,1,obnoxious,foul,8
128,353,2,odorless,unsorted,9
129,354,2,oily,oily,7
130,355,2,onion,onion,8
131,359,10,orange,orange,1
132,361,4,orange-peel,orange,1
133,366,1,origanum,spicy,7
134,367,2,orris,fragrant,4
135,369,1,ozone,chemical,2
136,376,1,patchouli,minty,3
137,382,1,pear,pear,5
138,384,6,peely,citrus,1
139,385,1,penetrating,sharp,8
140,390,1,peppermint,minty,3
141,391,1,peppery,pepper,6
142,393,1,petitgrain,citrus,1
143,395,9,phenolic,tar,2
144,396,1,pine,green,6
