"iL0","iL_orig","deg","h0","h1","h2","LongName","CAS","mtab_idx"
"1","1024","5","29","21","1","(+)-carvone","2244-16-8",1270
"2","1025","6","26","21","1","(-)-carvone","6485-40-1",1731
"3","1067","1","58","14","2","heptanoic acid","111-14-8",430
"4","1069","1","59","9","6","propionic acid","79-09-4",68
"5","1078","8","20","1","1","n-amyl acetate","628-63-7",917
"6","1081","9","18","18","8","geraniol","106-24-1",334
"7","1089","1","60","11","5","benzene","71-43-2",5590
"8","1101","1","61","25","1","anisaldehyde","123-11-5",537
"9","1111","20","7","7","1","cinnamaldehyde","14371-10-9",2860
"10","1113","1","62","43","22","(-)-citronellal","5949-05-3",1675
"11","1115","11","13","7","1","coumarin","91-64-5",142
"12","1116","1","63","3","1","Cyclohexanone","108-94-1",381
"13","1117","1","64","14","2","p-cymene","99-87-6",223
"14","1118","1","65","14","2","5,5-Dimethyl-1,3-cyclohexanedione","126-81-8",5591
"15","1145","2","50","2","3","2-heptanone","110-43-0",416
"16","1155","1","66","11","5","nonanedioic acid","123-99-9",5592
"17","1164","1","67","44","23","1-octanol","111-87-5",445
"18","1171","1","68","45","24","nonanal","124-19-6",562
"19","1174","2","51","5","2","acetophenone","98-86-2",213
"20","1190","1","69","8","5","dihydrojasmone","1128-08-1",1078
"21","1191","4","37","24","12","allyl phenylacetate","1797-74-6",1203
"22","1192","1","70","7","1","dicyclohexyl disulfide","2550-40-5",1346
"23","1202","5","30","7","1","coffee difuran","4437-20-1",1513
"24","1203","3","45","7","1","thioglycolic acid","68-11-1",5593
"25","1210","1","71","11","5","pyridine","110-86-1",424
"26","1213","1","72","14","2","2-methyl-1-propanethiol","513-44-0",738
"27","1262","1","73","9","6","beta-Ionone ","14901-07-6",2878
"28","1274","6","27","7","1","1-octanethiol","111-88-6",5594
"29","1278","5","31","2","3","TMT","60633-24-1",5595
"30","1281","5","32","22","11","(-)-menthol","2216-51-5",1263
"31","1282","2","52","2","3","(+)-menthol","15356-60-2",5596
"32","1283","1","74","6","2","1-butanol","71-36-3",33
"33","1285","4","38","27","14","2-decenal","3913-71-1",1462
"34","1286","4","39","1","1","2-ethylfenchol","18368-91-7",2972
"35","1287","4","40","2","3","2-methoxy-4-methylphenol","93-51-6",155
"36","1289","8","21","16","2","ambrette","8015-62-1",2308
"37","1290","24","4","6","2","androstenone","18339-16-7",5597
"38","1291","6","28","6","2","anise","8007-70-3",2139
"39","1292","1","75","2","3","banana","N/A",5598
"40","1294","2","53","5","2","butyl acetate","123-86-4",552
"41","1295","23","5","5","2","butyric acid","107-92-6",5602
"42","1296","2","54","4","4","caproic acid","142-62-1",631
"43","1299","14","10","11","5","cinnamon","8015-91-6",2341
"44","1300","36","1","1","1","cis-3-hexen-1-ol","928-96-1",1004
"45","1303","5","33","17","7","decyl aldehyde","112-31-2",454
"46","1304","4","41","28","15","diacetyl","431-03-8",659
"47","1307","19","8","8","5","ethyl vanillin","121-32-4",504
"48","1308","8","22","19","9","ethylene brassylate","105-95-3",328
"49","1309","36","2","2","3","eugenol","97-53-0",192
"50","1310","23","6","4","4","eugenol acetate","93-28-7",153
"51","1311","15","9","10","1","eugenol methyl ether","93-15-2",149
"52","1314","1","76","33","17","galaxolide","1222-05-5",1106
"53","1315","14","11","14","2","androstadienone","4075-07-4",5599
"54","1316","27","3","3","1","geranyl acetate","105-87-3",324
"55","1317","1","77","2","3","guaiacol","90-05-1",126
"56","1323","2","55","31","16","isobutyric acid","79-31-2",71
"57","1324","13","12","15","2","isoeugenol","97-54-1",193
"58","1325","11","14","9","6","isovaleric acid","503-74-2",725
"59","1326","11","15","13","2","jasmine","8022-96-6",2495
"60","1328","11","16","12","1","linalool","78-70-6",59
"61","1330","2","56","1","1","methyl salicylate","119-36-8",489
"62","1331","3","46","29","13","nonyl aldehyde","124-19-6",562
"63","1332","2","57","2","3","nutmeg","8008-45-5",2184
"64","1334","1","78","1","1","octyl aldehyde","124-13-0",561
"65","1336","1","79","4","4","pentadecalactone","106-02-5",329
"66","1337","10","17","1","1","phenyl acetaldehyde","122-78-1",529
"67","1338","1","80","1","1","pyrazine","290-37-9",652
"68","1339","1","81","21","1","r-carvone","6485-40-1",1731
"69","1340","1","82","46","25","r-limonene","5989-27-5",1681
"70","1341","5","34","3","1","sandalwood","8006-87-9",2068
"71","1342","9","19","7","1","spearmint","8008-79-5",2239
"72","1343","1","83","10","1","terpineol","98-55-5",211
"73","1345","1","84","17","7","undecanal","112-44-7",460
"74","1346","8","23","20","10","vanillin","121-33-5",505
"75","1348","4","42","8","5","helional","1205-17-0",1103
"76","1360","7","24","7","1","quinoline","91-22-5",135
"77","1367","1","85","8","5","hexyl octanoate","1117-55-1",1063
"78","1372","3","47","30","2","(+)-dihydrocarvone","5524-05-0 ",1636
"79","1376","3","48","2","3","r-limonene","5989-27-5",1681
"80","1378","5","35","3","1","lilial","80-54-6",83
"81","1379","5","36","23","1","lyral","31906-04-4",3310
"82","1388","4","43","6","2","3-phenyl propyl propionate","122-74-7",528
"83","1391","7","25","1","1","amyl laurate","4674-50-4",1538
"84","1396","1","86","14","2","caramel furanone","28664-35-9",3245
"85","1410","1","87","32","1","methyl octanoate","111-11-5",427
"86","1411","1","88","14","2","amyl butyrate","540-18-1",766
"87","1412","1","89","28","15","1-formylpiperidine","2591-86-8",5600
"88","1414","3","49","1","1","3-methyl-2-hexenoic acid","35205-70-0",5601
"89","1416","4","44","2","3","butyl anthranilate","7756-96-9",1846
