OdorIdx,ListIdx,MolIdx,CAS,OdorTypeN,OdorDescriptorN
0,1,4,50-21-5,352,
1,1,11,50-70-4,87,
2,1,24,51-67-2,319,394;436;319;145;177
3,1,47,56-12-2,319,319;451
4,1,53,56-40-6,352,
5,1,54,56-41-7,352,
6,1,62,56-81-5,352,
7,1,63,56-84-8,352,
8,1,64,56-85-9,327,327;168;139;353
9,1,65,56-86-0,543,543;66
10,1,71,57-06-7,480,336;415
11,1,74,57-10-3,531,191;159;531
12,1,79,57-48-7,352,
13,1,83,57-55-6,352,
14,1,90,58-08-2,352,
15,1,97,58-86-6,463,87;482;463;538
16,1,113,59-92-7,352,
17,1,115,60-01-5,105,191;105;159;4;531
18,1,117,60-12-8,201,430;201;259;482;431;69;208
19,1,157,63-91-2,352,
20,1,159,64-04-0,199,199;20
21,1,160,64-17-5,8,321;189;8
22,1,161,64-18-6,2,459;2;195;521;415;215
23,1,162,64-19-7,4,468;459;521;415
24,1,172,65-85-0,40,40;514
25,1,176,66-25-1,243,240;9;191;518;288;481;243;538;208;215;135
26,1,183,67-47-0,191,87;191;337;531;79
27,1,187,67-63-0,8,538;337;8
28,1,188,67-64-1,466,25;381;189;466
29,1,190,67-68-5,11,353;191;105;221;334;443
30,1,202,69-65-8,352,
31,1,203,69-72-7,348,394;348
32,1,217,71-23-8,8,494;381;217;543;482;337;25;195;8;215
33,1,219,71-36-3,195,353;535;217;482;40
34,1,220,71-41-0,195,353;466;217;543;482;195;69;536;40;415
35,1,227,72-19-5,451,
36,1,245,74-93-1,480,353;184;518;221;11;159;451;80
37,1,249,75-04-7,20,199;20
38,1,251,75-07-0,189,9;189;337;208;215;415
39,1,254,75-18-3,480,480;150;518;159;482;243;57;199;502;417;454;354;80;215
40,1,259,75-31-0,199,199;20
41,1,260,75-33-2,11,459;480;115;224;319;71;426;354;415
42,1,267,75-50-3,199,353;481;199;215;419
43,1,282,76-09-5,538,375;181;525;69;538
44,1,285,76-22-2,82,82
45,1,286,76-49-3,40,82;257;325;395;538;99;470
46,1,287,76-50-6,257,516;505;82
47,1,299,77-53-2,538,178;100;538;482
48,1,300,77-54-3,538,99;178;408;538
49,1,304,77-70-3,87,87;348
50,1,307,77-74-7,243,215;243;288
51,1,309,77-83-8,215,191;259;201;482;475;215
52,1,312,77-90-7,257,482;257;536
53,1,314,77-92-9,352,
54,1,323,78-35-3,215,56;274;130;482;57;538;286;215
55,1,324,78-36-4,201,56;470;41;201;130;482;57;396;61;215
56,1,325,78-37-5,40,17;298;482;40;281;344
57,1,327,78-59-1,538,82;499;147;243;482;337;289;538;215;100
58,1,329,78-69-3,201,353;191;491;297;298;201;62;132;538
59,1,331,78-70-6,201,358;430;495;201;130;482;243;62;531;538;61
60,1,334,78-81-9,199,199;105
61,1,335,78-83-1,189,536;189
62,1,336,78-84-2,9,208;201;9;415
63,1,337,78-85-3,201,202;266;243
64,1,339,78-92-2,215,30;482
65,1,340,78-93-3,189,82;215;189;3
66,1,343,78-96-6,199,199
67,1,344,78-98-8,87,189;438;482;4;72
68,1,349,79-09-4,4,105;4;171;521;415
69,1,352,79-14-1,79,
70,1,353,79-20-9,189,143;189;466;482;536;188;215;438
71,1,355,79-31-2,4,468;105;4;79;171;419
72,1,356,79-33-4,352,
73,1,360,79-42-5,480,480;427;319;451;72
74,1,367,79-69-6,201,522;366;201;482;57;538;408;420
75,1,368,79-70-9,201,522;482;57;538;408;208
76,1,371,79-77-6,201,457;366;201;178;482;57;538;408;215
77,1,372,79-78-7,215,533;366;201;243;531;538;505;289;517;215
78,1,375,79-89-0,201,18;366;201;531;538
79,1,377,79-92-5,538,82;329;257;147;495;130;243;198;395;538;470
80,1,383,80-25-1,538,257;464;300;538;144;208
81,1,385,80-26-2,257,56;257;300;201;130;531;538;286;470;135
82,1,387,80-27-3,243,226;257;130;243;482;541;538;505
83,1,395,80-54-6,201,163;201;243;333;530;408
84,1,396,80-56-8,257,82;257;147;495;181;482;395;538;208
85,1,397,80-57-9,82,82;325;101
86,1,398,80-59-1,470,87;178;482;4;538;426;470;72;415;215
87,1,399,80-62-6,6,31;6;215
88,1,402,80-71-7,87,87;312
89,1,408,81-14-1,335,335;191;464;201;178;408
90,1,409,81-15-2,335,335;191;464;178;482
91,1,424,83-34-1,22,22;340;192;133
92,1,431,83-66-9,335,457;19;482;337
93,1,466,85-91-6,201,394;201;237;482;337;536;344;408;208;215;135
94,1,467,86-26-0,201,215;430
95,1,477,87-05-8,348,524;348
96,1,481,87-19-4,201,363;257;147;201;482;138;470;537
97,1,483,87-20-7,201,363;257;201;326;538
98,1,485,87-22-9,201,430;201;266;90;40
99,1,487,87-25-2,201,362;201;482;236;537
100,1,489,87-29-6,40,
101,1,492,87-41-2,157,394;282;504;482;140;408;157
102,1,493,87-44-5,470,178;482;137;538;470
103,1,496,87-55-8,159,87;159;79;312
104,1,500,87-69-4,352,
105,1,506,87-91-2,215,87;215;536
106,1,509,88-09-5,4,535;178;57;4;505;171;215
107,1,511,88-14-2,352,
108,1,512,88-15-3,480,524;348;480;253
109,1,516,88-29-9,335,335;19;482
110,1,518,88-41-5,215,257;28;215;538
111,1,520,88-60-8,22,22;289
112,1,522,88-69-7,394,394;498;75;466;436;463;538;321
113,1,524,88-84-6,538,246;178;482;538;408;40;470
114,1,531,89-43-0,201,362;201;482;298
115,1,533,89-47-4,325,516;325;215;482
116,1,534,89-48-5,325,329;491;147;215
117,1,541,89-74-7,201,329;201;482;538;328
118,1,542,89-78-1,325,147;538;389
119,1,543,89-79-2,329,321;329;538;147
120,1,544,89-80-5,329,329
121,1,545,89-81-6,257,82;329;257;321
122,1,546,89-82-7,329,82;329;257;480;74;482;389;326;208
123,1,548,89-83-8,257,82;497;394;257;111;321;470
124,1,551,89-88-3,538,482;429;538;40;444
125,1,557,90-02-8,321,126;147;321;470;537
126,1,559,90-05-1,394,394;319;463;538;321;470;451;517
127,1,560,90-12-0,340,340;111;321;82
128,1,562,90-17-5,201,408;201;430
129,1,568,90-42-6,257,163;329;257;366;482;368;538;169
130,1,576,90-87-9,201,288;201;181;243;482;130;259;334;524;266
131,1,577,91-01-0,243,533;243;430
132,1,580,91-10-1,463,394;38;463;482;538;408;40;321
133,1,581,91-16-7,517,394;159;482;337;517
134,1,584,91-20-3,415,178;415;423
135,1,585,91-22-5,321,499;436;181;337;321;289
136,1,587,91-50-9,201,208;362;344;299
137,1,588,91-51-0,201,298;362;130;243;333;208
138,1,592,91-57-6,201,201;482;538
139,1,593,91-60-1,480,353;480;427;319;436;71;159;334;538;72
140,1,594,91-61-2,22,22;18;133;289
141,1,595,91-62-3,22,133;499;504;96;192;289
142,1,598,91-64-5,504,504;252;482;251;157
143,1,601,91-87-2,201,291;272;243;298
144,1,606,92-48-8,140,159;201;482;140;408;517
145,1,607,92-52-4,243,226;430;243;415
146,1,610,92-68-2,201,366;201;368;538;169;208
147,1,616,93-04-9,340,340;362;201;482;1;344
148,1,618,93-08-3,201,362;259;482;408;344
149,1,620,93-15-2,470,394;126;518;390;482;337;525;137;90;531;208;470
150,1,622,93-16-3,470,201;137;90;538;470
151,1,624,93-18-5,340,340;362;201;130;408;236
152,1,625,93-19-6,22,349;499;22;429;538;289
153,1,628,93-28-7,470,201;482;137;90;538;208;470;309
154,1,630,93-29-8,470,201;482;90;408;40;470
