"OdorIdx","ListIdx","MolIdx","CAS","MolPrefix","MolName","OdorType","OdorDescriptors"
0,"1","4","50-21-5","","lactic acid","odorless",""
1,"1","11","50-70-4","dextro-","sorbitol","caramellic",""
2,"1","24","51-67-2","","tyramine","meaty","phenolic;rubbery;meaty;cooked;dirty"
3,"1","47","56-12-2","gamma-","aminobutyric acid","meaty","meaty;savory"
4,"1","53","56-40-6","","glycine","odorless",""
5,"1","54","56-41-7","laevo-","alanine","odorless",""
6,"1","62","56-81-5","","glycerine","odorless",""
7,"1","63","56-84-8","laevo-","aspartic acid","odorless",""
8,"1","64","56-85-9","laevo-","glutamine","milky","milky;custard;cocoa;oily"
9,"1","65","56-86-0","laevo-","glutamic acid","yeasty","yeasty;bread-baked"
10,"1","71","57-06-7","","allyl isothiocyanate","sulfurous","mustard;pungent"
11,"1","74","57-10-3","","palmitic acid","waxy","fatty;creamy;waxy"
12,"1","79","57-48-7","","levulose","odorless",""
13,"1","83","57-55-6","","propylene glycol","odorless",""
14,"1","90","58-08-2","","caffeine","odorless",""
15,"1","97","58-86-6","dextro-","xylose","smoky","caramellic;sweet;smoky;woody"
16,"1","113","59-92-7","","levodopa","odorless",""
17,"1","115","60-01-5","","glyceryl tributyrate","cheesy","fatty;cheesy;creamy;acidic;waxy"
18,"1","117","60-12-8","","phenethyl alcohol","floral","rose;floral;honey;sweet;rose-dried-rose;bready;fresh"
19,"1","157","63-91-2","laevo-","phenyl alanine","odorless",""
20,"1","159","64-04-0","","phenethyl amine","fishy","fishy;ammoniacal"
21,"1","160","64-17-5","","ethanol","alcoholic","medicinal;ethereal;alcoholic"
22,"1","161","64-18-6","","formic acid","acetic","sharp;acetic;fermented;vinegar;pungent;fruity"
23,"1","162","64-19-7","","acetic acid","acidic","sour;sharp;vinegar;pungent"
24,"1","172","65-85-0","","benzoic acid","balsamic","balsamic;urine"
25,"1","176","66-25-1","","hexanal (aldehyde C-6)","green","grassy;aldehydic;fatty;vegetable;leafy;sweaty;green;woody;fresh;fruity;clean"
26,"1","183","67-47-0","5-","hydroxymethyl furfural","fatty","caramellic;fatty;musty;waxy;buttery"
27,"1","187","67-63-0","iso","propyl alcohol","alcoholic","woody;musty;alcoholic"
28,"1","188","67-64-1","","acetone","solvent","apple;pear;ethereal;solvent"
29,"1","190","67-68-5","","dimethyl sulfoxide","alliaceous","oily;fatty;cheesy;garlic;mushroom;salty"
30,"1","202","69-65-8","dextro-","mannitol","odorless",""
31,"1","203","69-72-7","ortho-","salicylic acid","nutty","phenolic;nutty"
32,"1","217","71-23-8","","propyl alcohol","alcoholic","tequila;pear;fusel;yeasty;sweet;musty;apple;fermented;alcoholic;fruity"
33,"1","219","71-36-3","","butyl alcohol","fermented","oily;whiskey;fusel;sweet;balsamic"
34,"1","220","71-41-0","","amyl alcohol","fermented","oily;solvent;fusel;yeasty;sweet;fermented;bready;winey;balsamic;pungent"
35,"1","227","72-19-5","laevo-","threonine","savory",""
